FarmID,Easting,Northing,NumberOfAnimals,Date
F000000001,8504923,4298381,100,01/01/2000
F000000002,9947451,0628487,100,01/01/2000
F000000003,6762147,2047726,100,01/01/2000
F000000004,2920263,2285626,100,01/01/2000
F000000005,1945489,8398813,100,01/01/2000
F000000006,1895172,0258054,100,01/01/2000
F000000007,3053531,6199263,100,01/01/2000
F000000008,2911218,5549348,100,01/01/2000
F000000009,8560659,0358773,100,01/01/2000
F000000010,7140505,2988334,100,01/01/2000
F000000011,5894763,6324997,100,01/01/2000
F000000012,8845659,5818326,100,01/01/2000
F000000013,3602706,8294563,100,01/01/2000
F000000014,7468409,8545046,100,01/01/2000
F000000015,1243535,0028613,100,01/01/2000
F000000016,2505107,4263288,100,01/01/2000
F000000017,9365110,5843056,100,01/01/2000
F000000018,5026832,0856055,100,01/01/2000
F000000019,1441952,4293096,100,01/01/2000
F000000020,6389069,5888759,100,01/01/2000
F000000001,8504923,4298381,100,01/02/2000
F000000002,9947451,0628487,100,01/02/2000
F000000003,6762147,2047726,100,01/02/2000
F000000004,2920263,2285626,100,01/02/2000
F000000005,1945489,8398813,100,01/02/2000
F000000006,1895172,0258054,100,01/02/2000
F000000007,3053531,6199263,100,01/02/2000
F000000008,2911218,5549348,100,01/02/2000
F000000009,8560659,0358773,100,01/02/2000
F000000010,7140505,2988334,100,01/02/2000
F000000011,5894763,6324997,100,01/02/2000
F000000012,8845659,5818326,100,01/02/2000
F000000013,3602706,8294563,100,01/02/2000
F000000014,7468409,8545046,100,01/02/2000
F000000015,1243535,0028613,100,01/02/2000
F000000016,2505107,4263288,100,01/02/2000
F000000017,9365110,5843056,100,01/02/2000
F000000018,5026832,0856055,100,01/02/2000
F000000019,1441952,4293096,100,01/02/2000
F000000020,6389069,5888759,100,01/02/2000
F000000001,8504923,4298381,100,01/03/2000
F000000002,9947451,0628487,100,01/03/2000
F000000003,6762147,2047726,100,01/03/2000
F000000004,2920263,2285626,100,01/03/2000
F000000005,1945489,8398813,100,01/03/2000
F000000006,1895172,0258054,100,01/03/2000
F000000007,3053531,6199263,100,01/03/2000
F000000008,2911218,5549348,100,01/03/2000
F000000009,8560659,0358773,100,01/03/2000
F000000010,7140505,2988334,100,01/03/2000
F000000011,5894763,6324997,100,01/03/2000
F000000012,8845659,5818326,100,01/03/2000
F000000013,3602706,8294563,100,01/03/2000
F000000014,7468409,8545046,100,01/03/2000
F000000015,1243535,0028613,100,01/03/2000
F000000016,2505107,4263288,100,01/03/2000
F000000017,9365110,5843056,100,01/03/2000
F000000018,5026832,0856055,100,01/03/2000
F000000019,1441952,4293096,100,01/03/2000
F000000020,6389069,5888759,100,01/03/2000
F000000001,8504923,4298381,100,01/04/2000
F000000002,9947451,0628487,100,01/04/2000
F000000003,6762147,2047726,100,01/04/2000
F000000004,2920263,2285626,100,01/04/2000
F000000005,1945489,8398813,100,01/04/2000
F000000006,1895172,0258054,100,01/04/2000
F000000007,3053531,6199263,100,01/04/2000
F000000008,2911218,5549348,100,01/04/2000
F000000009,8560659,0358773,100,01/04/2000
F000000010,7140505,2988334,100,01/04/2000
F000000011,5894763,6324997,100,01/04/2000
F000000012,8845659,5818326,100,01/04/2000
F000000013,3602706,8294563,100,01/04/2000
F000000014,7468409,8545046,100,01/04/2000
F000000015,1243535,0028613,100,01/04/2000
F000000016,2505107,4263288,100,01/04/2000
F000000017,9365110,5843056,100,01/04/2000
F000000018,5026832,0856055,100,01/04/2000
F000000019,1441952,4293096,100,01/04/2000
F000000020,6389069,5888759,100,01/04/2000
F000000001,8504923,4298381,115,01/05/2000
F000000002,9947451,0628487,109,01/05/2000
F000000003,6762147,2047726,106,01/05/2000
F000000004,2920263,2285626,107,01/05/2000
F000000005,1945489,8398813,100,01/05/2000
F000000006,1895172,0258054,101,01/05/2000
F000000007,3053531,6199263,105,01/05/2000
F000000008,2911218,5549348,106,01/05/2000
F000000009,8560659,0358773,101,01/05/2000
F000000010,7140505,2988334,105,01/05/2000
F000000011,5894763,6324997,102,01/05/2000
F000000012,8845659,5818326,105,01/05/2000
F000000013,3602706,8294563,107,01/05/2000
F000000014,7468409,8545046,100,01/05/2000
F000000015,1243535,0028613,103,01/05/2000
F000000016,2505107,4263288,100,01/05/2000
F000000017,9365110,5843056,106,01/05/2000
F000000018,5026832,0856055,101,01/05/2000
F000000019,1441952,4293096,92,01/05/2000
F000000020,6389069,5888759,102,01/05/2000
F000000001,8504923,4298381,119,01/06/2000
F000000002,9947451,0628487,112,01/06/2000
F000000003,6762147,2047726,111,01/06/2000
F000000004,2920263,2285626,112,01/06/2000
F000000005,1945489,8398813,100,01/06/2000
F000000006,1895172,0258054,102,01/06/2000
F000000007,3053531,6199263,106,01/06/2000
F000000008,2911218,5549348,115,01/06/2000
F000000009,8560659,0358773,102,01/06/2000
F000000010,7140505,2988334,108,01/06/2000
F000000011,5894763,6324997,111,01/06/2000
F000000012,8845659,5818326,110,01/06/2000
F000000013,3602706,8294563,111,01/06/2000
F000000014,7468409,8545046,103,01/06/2000
F000000015,1243535,0028613,105,01/06/2000
F000000016,2505107,4263288,105,01/06/2000
F000000017,9365110,5843056,111,01/06/2000
F000000018,5026832,0856055,109,01/06/2000
F000000019,1441952,4293096,100,01/06/2000
F000000020,6389069,5888759,103,01/06/2000
F000000001,8504923,4298381,124,01/07/2000
F000000002,9947451,0628487,120,01/07/2000
F000000003,6762147,2047726,116,01/07/2000
F000000004,2920263,2285626,115,01/07/2000
F000000005,1945489,8398813,102,01/07/2000
F000000006,1895172,0258054,102,01/07/2000
F000000007,3053531,6199263,111,01/07/2000
F000000008,2911218,5549348,118,01/07/2000
F000000009,8560659,0358773,102,01/07/2000
F000000010,7140505,2988334,108,01/07/2000
F000000011,5894763,6324997,113,01/07/2000
F000000012,8845659,5818326,113,01/07/2000
F000000013,3602706,8294563,116,01/07/2000
F000000014,7468409,8545046,110,01/07/2000
F000000015,1243535,0028613,114,01/07/2000
F000000016,2505107,4263288,108,01/07/2000
F000000017,9365110,5843056,115,01/07/2000
F000000018,5026832,0856055,115,01/07/2000
F000000019,1441952,4293096,102,01/07/2000
F000000020,6389069,5888759,111,01/07/2000
F000000001,8504923,4298381,129,01/08/2000
F000000002,9947451,0628487,121,01/08/2000
F000000003,6762147,2047726,117,01/08/2000
F000000004,2920263,2285626,124,01/08/2000
F000000005,1945489,8398813,105,01/08/2000
F000000006,1895172,0258054,112,01/08/2000
F000000007,3053531,6199263,113,01/08/2000
F000000008,2911218,5549348,123,01/08/2000
F000000009,8560659,0358773,102,01/08/2000
F000000010,7140505,2988334,103,01/08/2000
F000000011,5894763,6324997,116,01/08/2000
F000000012,8845659,5818326,116,01/08/2000
F000000013,3602706,8294563,120,01/08/2000
F000000014,7468409,8545046,113,01/08/2000
F000000015,1243535,0028613,115,01/08/2000
F000000016,2505107,4263288,113,01/08/2000
F000000017,9365110,5843056,119,01/08/2000
F000000018,5026832,0856055,118,01/08/2000
F000000019,1441952,4293096,107,01/08/2000
F000000020,6389069,5888759,116,01/08/2000
F000000001,8504923,4298381,137,01/09/2000
F000000002,9947451,0628487,125,01/09/2000
F000000003,6762147,2047726,125,01/09/2000
F000000004,2920263,2285626,139,01/09/2000
F000000005,1945489,8398813,106,01/09/2000
F000000006,1895172,0258054,113,01/09/2000
F000000007,3053531,6199263,115,01/09/2000
F000000008,2911218,5549348,130,01/09/2000
F000000009,8560659,0358773,102,01/09/2000
F000000010,7140505,2988334,105,01/09/2000
F000000011,5894763,6324997,120,01/09/2000
F000000012,8845659,5818326,120,01/09/2000
F000000013,3602706,8294563,128,01/09/2000
F000000014,7468409,8545046,119,01/09/2000
F000000015,1243535,0028613,115,01/09/2000
F000000016,2505107,4263288,118,01/09/2000
F000000017,9365110,5843056,121,01/09/2000
F000000018,5026832,0856055,124,01/09/2000
F000000019,1441952,4293096,111,01/09/2000
F000000020,6389069,5888759,109,01/09/2000
F000000001,8504923,4298381,144,01/10/2000
F000000002,9947451,0628487,128,01/10/2000
F000000003,6762147,2047726,128,01/10/2000
F000000004,2920263,2285626,141,01/10/2000
F000000005,1945489,8398813,109,01/10/2000
F000000006,1895172,0258054,116,01/10/2000
F000000007,3053531,6199263,119,01/10/2000
F000000008,2911218,5549348,134,01/10/2000
F000000009,8560659,0358773,107,01/10/2000
F000000010,7140505,2988334,112,01/10/2000
F000000011,5894763,6324997,126,01/10/2000
F000000012,8845659,5818326,129,01/10/2000
F000000013,3602706,8294563,134,01/10/2000
F000000014,7468409,8545046,122,01/10/2000
F000000015,1243535,0028613,123,01/10/2000
F000000016,2505107,4263288,126,01/10/2000
F000000017,9365110,5843056,129,01/10/2000
F000000018,5026832,0856055,128,01/10/2000
F000000019,1441952,4293096,111,01/10/2000
F000000020,6389069,5888759,111,01/10/2000
F000000001,8504923,4298381,144,01/11/2000
F000000002,9947451,0628487,128,01/11/2000
F000000003,6762147,2047726,128,01/11/2000
F000000004,2920263,2285626,141,01/11/2000
F000000005,1945489,8398813,109,01/11/2000
F000000006,1895172,0258054,116,01/11/2000
F000000007,3053531,6199263,129,01/11/2000
F000000008,2911218,5549348,134,01/11/2000
F000000009,8560659,0358773,107,01/11/2000
F000000010,7140505,2988334,112,01/11/2000
F000000011,5894763,6324997,126,01/11/2000
F000000012,8845659,5818326,129,01/11/2000
F000000013,3602706,8294563,134,01/11/2000
F000000014,7468409,8545046,122,01/11/2000
F000000015,1243535,0028613,123,01/11/2000
F000000016,2505107,4263288,126,01/11/2000
F000000017,9365110,5843056,129,01/11/2000
F000000018,5026832,0856055,118,01/11/2000
F000000019,1441952,4293096,111,01/11/2000
F000000020,6389069,5888759,111,01/11/2000
F000000001,8504923,4298381,144,01/12/2000
F000000002,9947451,0628487,128,01/12/2000
F000000003,6762147,2047726,128,01/12/2000
F000000004,2920263,2285626,141,01/12/2000
F000000005,1945489,8398813,109,01/12/2000
F000000006,1895172,0258054,116,01/12/2000
F000000007,3053531,6199263,129,01/12/2000
F000000008,2911218,5549348,134,01/12/2000
F000000009,8560659,0358773,107,01/12/2000
F000000010,7140505,2988334,112,01/12/2000
F000000011,5894763,6324997,126,01/12/2000
F000000012,8845659,5818326,129,01/12/2000
F000000013,3602706,8294563,157,01/12/2000
F000000014,7468409,8545046,122,01/12/2000
F000000015,1243535,0028613,123,01/12/2000
F000000016,2505107,4263288,126,01/12/2000
F000000017,9365110,5843056,129,01/12/2000
F000000018,5026832,0856055,118,01/12/2000
F000000019,1441952,4293096,111,01/12/2000
F000000020,6389069,5888759,88,01/12/2000
F000000001,8504923,4298381,144,01/01/2001
F000000002,9947451,0628487,128,01/01/2001
F000000003,6762147,2047726,128,01/01/2001
F000000004,2920263,2285626,141,01/01/2001
F000000005,1945489,8398813,109,01/01/2001
F000000006,1895172,0258054,116,01/01/2001
F000000007,3053531,6199263,129,01/01/2001
F000000008,2911218,5549348,134,01/01/2001
F000000009,8560659,0358773,119,01/01/2001
F000000010,7140505,2988334,112,01/01/2001
F000000011,5894763,6324997,114,01/01/2001
F000000012,8845659,5818326,129,01/01/2001
F000000013,3602706,8294563,157,01/01/2001
F000000014,7468409,8545046,122,01/01/2001
F000000015,1243535,0028613,123,01/01/2001
F000000016,2505107,4263288,126,01/01/2001
F000000017,9365110,5843056,129,01/01/2001
F000000018,5026832,0856055,118,01/01/2001
F000000019,1441952,4293096,111,01/01/2001
F000000020,6389069,5888759,88,01/01/2001
F000000001,8504923,4298381,144,01/02/2001
F000000002,9947451,0628487,128,01/02/2001
F000000003,6762147,2047726,128,01/02/2001
F000000004,2920263,2285626,141,01/02/2001
F000000005,1945489,8398813,109,01/02/2001
F000000006,1895172,0258054,116,01/02/2001
F000000007,3053531,6199263,129,01/02/2001
F000000008,2911218,5549348,134,01/02/2001
F000000009,8560659,0358773,119,01/02/2001
F000000010,7140505,2988334,112,01/02/2001
F000000011,5894763,6324997,114,01/02/2001
F000000012,8845659,5818326,129,01/02/2001
F000000013,3602706,8294563,157,01/02/2001
F000000014,7468409,8545046,122,01/02/2001
F000000015,1243535,0028613,123,01/02/2001
F000000016,2505107,4263288,126,01/02/2001
F000000017,9365110,5843056,129,01/02/2001
F000000018,5026832,0856055,118,01/02/2001
F000000019,1441952,4293096,111,01/02/2001
F000000020,6389069,5888759,88,01/02/2001
F000000001,8504923,4298381,144,01/03/2001
F000000002,9947451,0628487,128,01/03/2001
F000000003,6762147,2047726,128,01/03/2001
F000000004,2920263,2285626,141,01/03/2001
F000000005,1945489,8398813,109,01/03/2001
F000000006,1895172,0258054,116,01/03/2001
F000000007,3053531,6199263,129,01/03/2001
F000000008,2911218,5549348,134,01/03/2001
F000000009,8560659,0358773,119,01/03/2001
F000000010,7140505,2988334,112,01/03/2001
F000000011,5894763,6324997,114,01/03/2001
F000000012,8845659,5818326,129,01/03/2001
F000000013,3602706,8294563,157,01/03/2001
F000000014,7468409,8545046,122,01/03/2001
F000000015,1243535,0028613,123,01/03/2001
F000000016,2505107,4263288,126,01/03/2001
F000000017,9365110,5843056,129,01/03/2001
F000000018,5026832,0856055,118,01/03/2001
F000000019,1441952,4293096,111,01/03/2001
F000000020,6389069,5888759,88,01/03/2001
F000000001,8504923,4298381,144,01/04/2001
F000000002,9947451,0628487,128,01/04/2001
F000000003,6762147,2047726,128,01/04/2001
F000000004,2920263,2285626,141,01/04/2001
F000000005,1945489,8398813,109,01/04/2001
F000000006,1895172,0258054,116,01/04/2001
F000000007,3053531,6199263,129,01/04/2001
F000000008,2911218,5549348,134,01/04/2001
F000000009,8560659,0358773,119,01/04/2001
F000000010,7140505,2988334,112,01/04/2001
F000000011,5894763,6324997,114,01/04/2001
F000000012,8845659,5818326,129,01/04/2001
F000000013,3602706,8294563,157,01/04/2001
F000000014,7468409,8545046,122,01/04/2001
F000000015,1243535,0028613,123,01/04/2001
F000000016,2505107,4263288,126,01/04/2001
F000000017,9365110,5843056,129,01/04/2001
F000000018,5026832,0856055,118,01/04/2001
F000000019,1441952,4293096,111,01/04/2001
F000000020,6389069,5888759,88,01/04/2001
F000000001,8504923,4298381,148,01/05/2001
F000000002,9947451,0628487,128,01/05/2001
