AnimalID,BirthDate,BirthFarm,DeathDate,DeathFarm,Species
A000000012,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000013,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000014,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000015,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000016,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000017,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000018,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000019,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000020,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000021,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000022,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000023,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000024,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000025,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000026,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000027,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000028,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000029,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000030,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000031,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000032,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000033,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000034,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000035,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000036,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000037,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000038,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000039,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000040,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000041,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000042,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000043,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000044,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
A000000045,01/01/1995,F000000001,01/01/2005,F000000001,CATTLE
